maceta	clon	tratamiento	valor	fecha	hora	pesoi	pesof	sum.riego
1	g2	d	i	18/2/2020	NA	17.4565	17.4565	0
1	g2	d	NA	19/2/2020	NA	17.384	17.536	0
1	g2	d	i	20/2/2020	NA	17.443	17.443	0
1	g2	d	NA	21/2/2020	NA	17.35	17.53	0
1	g2	d	i	22/2/2020	NA	17.445	17.445	0
1	g2	d	NA	23/2/2020	NA	17.360	17.530	0
1	g2	d	i	24/2/2020	NA	17.430	17.430	0
1	g2	d	NA	25/2/2020	NA	17.330	17.530	0
1	g2	d	i	26/2/2020	NA	17.428	17.428	0
1	g2	d	NA	27/2/2020	NA	17.325	17.530	0
1	g2	d	i	28/2/2020	NA	17.422	17.422	0
1	g2	d	NA	29/2/2020	NA	17.314	17.526	0
1	g2	d	i	1/3/2020	NA	17.413	17.413	0
1	g2	d	NA	2/3/2020	NA	17.300	17.533	0
1	g2	d	i	3/3/2020	NA	17.414	17.414	0
1	g2	d	NA	4/3/2020	NA	17.295	17.532	0
1	g2	d	i	5/3/2020	NA	17.416	17.416	0
1	g2	d	NA	6/3/2020	NA	17.300	17.531	0
1	g2	d	i	7/3/2020	NA	17.426	17.426	0
1	g2	d	NA	8/3/2020	NA	17.320	17.531	0
1	g2	d	i	9/3/2020	NA	17.421	17.421	0
1	g2	d	NA	10/3/2020	NA	17.310	17.529	0
1	g2	d	i	11/3/2020	NA	17.468	17.468	0
1	g2	d	NA	12/3/2020	NA	17.406	17.530	0
1	g2	d	i	13/3/2020	NA	17.467	17.467	0
1	g2	d	i	14/3/2020	NA	17.404	17.404	0
1	g2	d	i	15/3/2020	NA	17.341	17.341	0
1	g2	d	NA	16/3/2020	NA	17.281	17.529	0
1	g2	d	NA	17/3/2020	NA	17.44	17.529	0
1	g2	d	NA	18/3/2020	NA	17.474	17.53	0
1	g2	d	i	19/3/2020	NA	17.466	17.466	0
1	g2	d	NA	20/3/2020	NA	17.402	17.533	0
1	g2	d	NA	21/3/2020	NA	17.41	17.533	0
1	g2	d	NA	22/3/2020	NA	17.38	17.532	0
2	gc	c	NA	8/11/2019	NA	20.163	20.163	0
2	gc	c	NA	11/11/2019	NA	19.506	19.506	0
2	gc	c	NA	13/11/2019	NA	19.23	19.43	0
2	gc	c	NA	19/11/2019	NA	NA	19.43	0
2	gc	c	NA	21/11/2019	8:49	18.661	19.43	0
2	gc	c	NA	22/11/2019	10:05	19.116	19.43	0
2	gc	c	NA	25/11/2019	10:12	18.698	18.698	0
2	gc	c	NA	26/11/2019	9:05	18.566	18.566	0
2	gc	c	NA	27/11/2019	11:30	18.409	19.43	0
2	gc	c	NA	28/11/2019	8:50	19.072	19.433	0
2	gc	c	NA	29/11/2019	8:50	18.848	19.434	0
2	gc	c	NA	30/11/2019	8:50	18.96	19.435	0
2	gc	c	i	1/12/2019	NA	18.919	18.919	0
2	gc	c	NA	2/12/2019	8:50	18.402	19.43	0
2	gc	c	NA	3/12/2019	9:10	18.937	19.567	0
2	gc	c	NA	4/12/2019	8:30	19.125	19.125	0
2	gc	c	NA	5/12/2019	8:50	18.744	19.03	0
2	gc	c	NA	6/12/2019	8:10	18.554	19.029	0
2	gc	c	NA	7/12/2019	8:05	18.465	19.031	0
2	gc	c	i	8/12/2019	NA	18.616	18.616	0
2	gc	c	NA	9/12/2019	8:00	18.202	19.03	0
2	gc	c	NA	10/12/2019	8:50	18.378	19.029	0
2	gc	c	NA	11/12/2019	8:50	18.24	19.032	0
2	gc	c	NA	12/12/2019	NA	18.357	19.033	0
